X, Y, Z, Red, Green, Blue, Gray,
106.9678333,294.6999833,95.810593,0.000934158,0.239144531,61.221,4.895618848,
106.9678333,294.6999833,95.824124,0.000588898,0.150757813,38.594,3.086220641,
106.9678333,294.6999833,95.846676,0.000631241,0.161597656,41.369,3.308127214,
106.9678333,294.6999833,95.859305,0.000753693,0.192945313,49.394,3.949857033,
106.9678333,294.6999833,95.868326,0.000561798,0.143820313,36.818,2.944200434,
106.9678333,294.6999833,95.909821,0.021114395,5.405285156,103.753,110.6536526,
106.9678333,294.6999833,95.936884,0.000672958,0.172277344,44.103,3.526755167,
106.9678333,294.6999833,96.049643,0.003561005,0.911617188,233.374,18.66206291,
106.9678333,294.6999833,96.188563,0.000791107,0.202523438,51.846,4.14593448,
106.9678333,294.6999833,96.208408,0.000850861,0.217820313,55.762,4.459082639,
106.98275,294.699975,95.77,0.046700974,11.95544922,244.595,244.7445577,
106.98275,294.699975,95.795552,0.00094136,0.240988281,61.693,4.933362957,
106.98275,294.699975,95.808769,0.000555206,0.142132813,36.386,2.909654978,
106.98275,294.699975,95.816699,0.000529587,0.135574219,34.707,2.775391506,
106.98275,294.699975,95.829035,0.000512146,0.131109375,33.564,2.683989988,
106.98275,294.699975,95.85723,0.000649902,0.166375,42.592,3.405926038,
106.98275,294.699975,95.878377,0.000478897,0.122597656,31.385,2.509743349,
106.98275,294.699975,95.910098,0.019931046,5.102347656,26.201,104.4521036,
106.98275,294.699975,95.93565,0.000749786,0.191945313,49.138,3.929385652,
106.98275,294.699975,96.049315,0.003245575,0.830867188,212.702,17.00899888,
106.98275,294.699975,96.187651,0.00051355,0.13146875,33.656,2.69134689,
106.9976667,294.6999667,95.77,0.046755264,11.96934766,248.153,245.029078,
106.9976667,294.6999667,95.795732,0.000935501,0.239488281,61.309,4.902655886,
106.9976667,294.6999667,95.80283,0.000562515,0.144003906,36.865,2.947958852,
106.9976667,294.6999667,95.817027,0.000560303,0.1434375,36.72,2.936363733,
106.9976667,294.6999667,95.859618,0.00075206,0.192527344,49.287,3.941300635,
106.9976667,294.6999667,95.882688,0.00057222,0.146488281,37.501,2.998817439,
106.9976667,294.6999667,95.910194,0.01963945,5.027699219,7.091,102.923947,
106.9976667,294.6999667,95.935039,0.000551514,0.1411875,36.144,2.890303126,
106.9976667,294.6999667,96.049501,0.00276918,0.708910156,181.481,14.51237001,
106.9976667,294.6999667,96.182596,0.000808212,0.206902344,52.967,4.235576739,
106.9976667,294.6999667,96.204779,0.002303268,0.589636719,150.947,12.07067801,
106.9976667,294.6999667,96.344086,0.000887115,0.227101563,58.138,4.649082645,
107.0125833,294.6999583,95.77,0.046568756,11.92160156,235.93,244.0516495,
107.0125833,294.6999583,95.796496,0.000575668,0.147371094,37.727,3.01688983,
107.0125833,294.6999583,95.802678,0.000666351,0.170585938,43.67,3.492129745,
107.0125833,294.6999583,95.809743,0.000755203,0.193332031,49.493,3.9577737,
107.0125833,294.6999583,95.818575,0.0006427,0.16453125,42.12,3.368181929,
107.0125833,294.6999583,95.851252,0.000737213,0.188726563,48.314,3.863493394,
107.0125833,294.6999583,95.860084,0.000508133,0.130082031,33.301,2.662958842,
107.0125833,294.6999583,95.909542,0.01809903,4.633351563,162.138,94.85110582,
107.0125833,294.6999583,96.0482,0.001847275,0.472902344,121.063,9.680964124,
107.0125833,294.6999583,96.116204,0.000899429,0.230253906,58.945,4.713615475,
107.0125833,294.6999583,96.203638,0.004110031,1.052167969,13.355,21.53933152,
107.0125833,294.6999583,96.227484,0.00061972,0.158648438,40.614,3.247752632,
107.0125833,294.6999583,96.343179,0.001288193,0.329777344,84.423,6.750997698,
107.0275,294.69995,95.77,0.046704697,11.95640234,244.839,244.7640695,
107.0275,294.69995,95.795671,0.000695541,0.178058594,45.583,3.645105339,
107.0275,294.69995,95.802753,0.000692566,0.177296875,45.388,3.629511904,
107.0275,294.69995,95.80895,0.000549957,0.140789063,36.042,2.88214656,
107.0275,294.69995,95.816917,0.000602173,0.15415625,39.464,3.15579135,
107.0275,294.69995,95.82931,0.000580093,0.148503906,38.017,3.040080067,
